2676,,,,,,,,
155,r      ,155,0.801,4.323,0.397,0.2648,0.2743,-0.0092
156,r      ,156,4.169,2.447,1.925,0.4022,-0.0854,-0.0815
157,r      ,157,1.253,1.17,3.103,-0.1942,0.0969,0.105
158,r      ,158,4.779,3.171,1.265,-0.0242,-0.2245,-0.0915
159,r      ,159,0.923,3.215,4.47,0.1314,0.1138,0.0124
160,r      ,160,2.833,0.524,0.291,-0.0094,0.2014,-0.0316
161,r      ,161,3.236,2.913,0.796,0.1425,-0.1748,-0.0603
162,r      ,162,3.761,1.053,0.084,0.2515,0.0453,-0.0605
163,r      ,163,1.268,0.916,3.679,-0.0141,-0.2793,0.3092
164,r      ,164,2.554,0.442,1.617,0.0348,-0.1263,-0.0524
165,r      ,165,4.298,3.83,3.752,-0.1218,-0.0759,-0.1656
166,r      ,166,2.08,4.178,1.479,0.2144,0.2515,0.0459
167,r      ,167,4.494,3.595,0.929,0.0916,0.0137,0.2143
168,r      ,168,3.238,3.858,1.175,0.0547,0.0285,0.1222
169,r      ,169,2.091,0.509,1.901,0.0409,-0.3253,0.1282
170,r      ,170,1.698,3.102,2.371,0.2155,0.0529,-0.2273
171,r      ,171,1.127,0.101,4.94,-0.0886,-0.0222,-0.1793
172,r      ,172,3.626,0.557,2.729,-0.0366,-0.2275,0.0499
173,r      ,173,4.395,4.201,4.524,-0.0329,0.0757,-0.0952
174,r      ,174,0.705,1.137,3.555,-0.0733,-0.2407,-0.0343
175,r      ,175,4.38,4.097,1.819,-0.1217,0.0391,-0.0605
176,r      ,176,0.605,0.912,4.096,-0.1469,0.1648,0.0263
177,r      ,177,4.456,3.2,1.353,-0.2595,0.0934,0.2421
178,r      ,178,1.895,1.946,0.077,-0.1152,0.1193,-0.2518
179,r      ,179,4.608,3.363,2.364,0.1362,0.1543,0.111
180,r      ,180,4.492,2.807,2.768,0.1835,-0.0366,-0.0373
181,r      ,181,4.664,3.946,2.425,-0.115,0.049,0.0263
182,r      ,182,3.92,2.367,4.514,-0.2003,0.2337,0.0686
183,r      ,183,4.192,2.105,0.345,-0.1285,0.072,0.1035
184,r      ,184,3.45,0.932,0.915,-0.0432,0.0511,0.0394
185,r      ,185,0.159,4.834,2.237,-0.1371,0.1934,-0.1741
186,r      ,186,2.816,2.188,0.828,-0.1505,0.0116,-0.0095
187,r      ,187,1.378,0.373,3.568,-0.2398,-0.1801,0.1207
188,r      ,188,4.474,1.446,3.397,0.0342,0.3049,0.0015
189,r      ,189,3.344,3.76,0.234,0.0556,0.174,-0.0063
190,r      ,190,0.181,4.834,4.728,0.2345,0.0559,-0.144
191,r      ,191,2.637,0.551,2.868,-0.0303,-0.1991,-0.2619
192,r      ,192,1.216,2.227,1.132,0.1236,0.1906,0.2614
193,r      ,193,4.482,4.102,2.845,-0.2394,0.1712,0.2198
194,r      ,194,1.263,4.38,2.164,0.108,0.0751,-0.056
195,r      ,195,3.854,0.265,3.966,-0.1517,0.2844,0.0589
196,r      ,196,3.188,0.683,1.831,0.1332,0.0775,-0.2353
197,r      ,197,2.402,3.623,1.536,0.0203,-0.1567,-0.1682
198,r      ,198,4.238,4.41,1.764,-0.1517,0.0316,-0.0627
199,r      ,199,3,3.09,2.918,-0.0479,-0.1331,0.2966
200,r      ,200,1.969,4.215,2.711,0.0014,0.0977,-0.1792
201,r      ,201,3.722,1.3,3.835,0.2503,0.0156,-0.2183
202,r      ,202,3.389,2.671,1.72,0.0784,0.3684,-0.0098
203,r      ,203,0.744,2.543,1.701,-0.0813,-0.2403,-0.0799
204,r      ,204,4.463,0.465,2.683,-0.0061,0.0281,-0.01
205,r      ,205,2.182,0.016,3.496,0.1254,0.3005,-0.0622
206,r      ,206,0.345,4.646,3.596,0.1004,-0.2504,-0.0021
207,r      ,207,1.339,3.374,1.101,0.1381,-0.1248,0.0624
208,r      ,208,1.448,0.134,4.208,0.0477,0.0752,-0.2173
209,r      ,209,0.395,2.407,2.238,-0.1686,0.0837,-0.0685
210,r      ,210,4.055,0.631,1.287,-0.038,-0.0677,-0.0218
211,r      ,211,2.726,1.693,1.353,-0.1736,0.1236,-0.1272
212,r      ,212,2.064,1.952,1.888,0.3413,0.0071,-0.2432
213,r      ,213,3.1,0.502,2.101,0.1905,-0.1394,-0.1137
214,r      ,214,3.355,3.137,1.154,-0.2407,-0.0278,0.0765
215,r      ,215,4.644,2.331,2.221,0.1753,0.1318,-0.212
216,r      ,216,2.162,4.708,1.798,0.054,0.0101,-0.1799
217,r      ,217,1.774,3.081,4.69,-0.0402,-0.14,0.3114
218,r      ,218,2.485,2.217,2.216,0.1149,-0.0076,-0.0559
219,r      ,219,4.358,0.142,0.264,-0.0387,-0.0723,0.098
220,r      ,220,1.908,1.857,1.506,-0.0017,-0.0894,0.1277
221,r      ,221,2.683,0.274,3.638,-0.0189,0.0061,0.3422
222,r      ,222,3.875,1.286,3.019,0.0573,-0.1941,-0.08
223,r      ,223,3.309,1.013,3.937,-0.0059,-0.2368,0.0677
224,r      ,224,0.322,0.127,1.328,-0.0326,0.2013,0.1224
225,r      ,225,2.114,1.677,0.215,0.032,-0.2088,-0.0471
226,r      ,226,3.136,4.379,3.872,-0.2368,0.1829,-0.0438
227,r      ,227,4.358,4.827,4.08,-0.1066,-0.3007,-0.2147
228,r      ,228,3.846,1.949,2.831,0.0474,0.0559,0.1197
229,r      ,229,3.192,1.94,3.062,-0.0884,-0.1149,0.192
230,r      ,230,1.112,1.307,1.647,-0.1052,-0.074,0.0145
231,r      ,231,3.479,2.212,0.007,-0.0278,-0.0197,-0.2287
232,r      ,232,2.961,2.244,0.07,0.2161,-0.2632,0.1506
233,r      ,233,3.751,4.697,0.199,-0.0434,-0.0092,0.1701
234,r      ,234,3.948,1.901,1.202,0.0074,0.0956,0.1263
235,r      ,235,4.981,4.95,3.582,-0.0338,-0.0571,0.1573
236,r      ,236,2.765,2.37,4.111,0.141,-0.1141,0.1844
237,r      ,237,0.084,4.523,1.512,0.1404,-0.3593,-0.2115
238,r      ,238,2.57,1.945,4.043,0.1143,0.0661,-0.2351
